,rmse,mae,r2
RandomForest,9.840249327631213,6.357746524064171,0.8776776606924992
XGBoost,8.447104483533671,5.638514104628945,0.9098617120324588
LightGBM,7.719859439893322,5.2312418642058045,0.92471432322062
SVR,12.779636025474524,7.71389935497908,0.793685124184933
LSTM,15.834274317570175,11.02419090270996,0.6732059717178345
TCN,20.34476853969083,13.376938819885254,0.4605101346969604
TCN,18.753651174452585,12.770674705505371,0.541594922542572
