era5_sst_c,era5_msl_hpa,era5_wind10_ms,lat,lon,month_sin,month_cos,era5_u10,era5_v10,basin_NI,basin_SI,basin_SP,basin_WP,basin_nan,target
28.339167,1003.8819,3.701959,-18.85,56.8,0.8660254037844386,0.5000000000000001,-3.1519208,-1.6725738,False,True,False,False,False,20.0
29.130524,1006.1994,7.3310432,-5.25,85.25,-0.5000000000000004,0.8660254037844384,-3.8302765,-6.2508545,False,True,False,False,False,30.0
28.32817,1007.4878,8.636892,6.74982,150.457,1.0,6.123233995736766e-17,-8.028198,-2.9592829,False,False,False,True,False,20.0
27.676704,972.4627,15.062735,-15.3433,164.27,0.8660254037844386,0.5000000000000001,10.793126,1.0350773,False,False,True,False,False,65.0
28.062551,1003.284,11.271479,19.5989,69.0473,-0.5000000000000004,0.8660254037844384,-3.8869746,10.333764,True,False,False,False,False,27.0
29.064362,1008.9082,7.0470324,11.275,129.475,0.49999999999999994,-0.8660254037844387,4.1388917,5.6713467,False,False,False,True,False,35.0
29.093912,1005.6534,1.6173987,5.9,144.6,0.49999999999999994,0.8660254037844387,-0.6799921,0.47587404,False,False,False,True,False,15.0
28.33924,1011.37,2.938792,19.6574,71.1725,-0.5000000000000004,0.8660254037844384,-0.08163554,-2.9030719,True,False,False,False,False,15.0
29.03062,1007.7249,8.691708,-13.1,178.7,-2.4492935982947064e-16,1.0,8.338227,-2.4304028,False,False,True,False,False,35.0
23.993317,1007.64624,5.8379846,24.0,-136.5,-0.8660254037844386,0.5000000000000001,1.0067749,5.750519,False,False,False,False,False,40.0
30.610798,1003.9116,2.3359382,16.0,117.7,-0.5000000000000001,-0.8660254037844386,0.9960907,2.0353515,False,False,False,True,False,15.0
28.132608,1012.55396,4.0447054,9.06264,-96.1999,-0.5000000000000004,0.8660254037844384,-3.1780868,-2.3509061,False,False,False,False,False,25.0
28.44819,1007.42664,9.342364,15.9418,125.847,-0.5000000000000004,0.8660254037844384,-9.2393055,1.3565005,False,False,False,True,False,32.0
28.32515,1010.06287,10.445868,29.8313,-40.7596,-1.0,-1.8369701987210297e-16,-8.129194,6.481275,False,False,False,False,True,47.0
28.167856,1008.9449,5.2726054,-10.8298,87.8198,-0.5000000000000004,0.8660254037844384,-3.9285893,3.4512975,False,True,False,False,False,20.0
30.184772,1007.469,4.251023,16.3,-104.7,-0.8660254037844384,-0.5000000000000004,-3.2037554,-1.7346222,False,False,False,False,False,40.0
30.156256,1003.33325,2.821767,21.0,140.9,-0.8660254037844386,0.5000000000000001,0.45274964,2.7837982,False,False,False,True,False,10.0
24.908854,995.76874,12.1824045,-26.85,81.15,0.8660254037844386,0.5000000000000001,11.581194,-3.2855225,False,True,False,False,False,55.0
27.186823,984.59265,6.3624225,16.0,-40.6,-1.0,-1.8369701987210297e-16,-0.00036315917,6.1793914,False,False,False,False,True,115.0
28.139444,1005.8492,3.7634814,6.63014,133.471,0.49999999999999994,0.8660254037844387,-3.7373874,-0.3555696,False,False,False,True,False,20.0
30.000702,997.2884,8.989311,-13.0241,120.194,0.8660254037844387,-0.4999999999999998,6.071607,4.5038366,False,True,False,False,False,45.0
30.32613,978.95447,8.223942,11.2962,86.125,0.49999999999999994,-0.8660254037844387,-3.1328359,-1.8883893,True,False,False,False,False,65.0
28.579353,1009.34393,2.4478498,12.335,-108.205,-0.5000000000000004,0.8660254037844384,2.047556,0.21470498,False,False,False,False,False,25.0
25.844429,1020.49677,5.0956883,29.4,-168.9,-0.8660254037844386,0.5000000000000001,-5.0747876,0.41632324,False,False,False,False,False,25.0
28.89211,1010.0194,2.517325,20.2725,72.3151,-0.5000000000000004,0.8660254037844384,-2.2446547,0.53204113,True,False,False,False,False,25.0
28.517105,1007.1808,5.1099744,16.1137,126.215,-0.5000000000000004,0.8660254037844384,0.01691553,5.0860486,False,False,False,True,False,30.0
26.197218,1002.6659,6.9078326,17.615,-130.05,-1.0,-1.8369701987210297e-16,-4.0185246,3.04734,False,False,False,False,False,50.0
29.317547,1010.28827,2.9889586,14.3904,-95.3449,-1.0,-1.8369701987210297e-16,3.0688632e-05,-2.8735275,False,False,False,False,False,30.0
30.475983,997.57336,7.544893,13.375,116.825,-1.0,-1.8369701987210297e-16,6.65462,-0.92407835,False,False,False,True,False,40.0
28.53425,1013.48785,4.465309,10.3402,-46.94,-0.8660254037844384,-0.5000000000000004,-0.64018255,-4.1959987,False,False,False,False,True,27.0
28.787882,1006.2705,3.0609114,11.5173,129.281,-1.0,-1.8369701987210297e-16,-2.8358638,0.80430305,False,False,False,True,False,20.0
26.079082,988.65125,4.3838296,29.3775,-60.0305,-0.8660254037844386,0.5000000000000001,-0.6058016,-2.0861533,False,False,False,False,True,100.0
26.626116,1008.0353,5.9798074,15.805,-127.453,-0.5000000000000004,0.8660254037844384,-4.089621,-4.232293,False,False,False,False,False,22.0
29.469185,1001.3827,3.9098082,-9.6,164.4,0.49999999999999994,0.8660254037844387,0.589917,1.548841,False,False,True,False,False,20.0
26.240582,1000.51666,2.5962012,-23.4,166.0,0.8660254037844386,0.5000000000000001,2.3391113,-0.56355286,False,False,True,False,False,45.0
28.064144,1009.7955,3.762793,12.05,-43.0075,-0.8660254037844384,-0.5000000000000004,-1.4042281,3.3225806,False,False,False,False,True,30.0
27.595627,1002.0092,1.6395772,14.7231,114.956,-0.5000000000000004,0.8660254037844384,0.019384148,-0.6511486,False,False,False,True,False,37.0
26.800537,1002.48456,5.6569653,-18.1862,86.1162,1.0,6.123233995736766e-17,0.22080435,-5.144201,False,True,False,False,False,47.0
29.750225,1000.89014,7.356578,21.0221,115.142,-0.8660254037844384,-0.5000000000000004,-7.000644,1.3945079,False,False,False,True,False,50.0
23.835182,1003.05133,10.093872,-29.8,73.8,0.49999999999999994,0.8660254037844387,4.870489,-8.837673,False,True,False,False,False,25.0
29.069244,974.59186,11.632329,-19.75,117.5,1.0,6.123233995736766e-17,8.508316,-7.93219,False,True,False,False,False,105.0
29.907888,997.2174,12.652391,-13.18,119.72,0.8660254037844387,-0.4999999999999998,-0.25341493,12.165568,False,True,False,False,False,45.0
26.795124,981.97186,20.742455,-25.45,72.0,0.8660254037844386,0.5000000000000001,19.706745,-6.4715395,False,True,False,False,False,85.0
27.462467,982.2069,6.160343,10.15,144.025,0.8660254037844386,0.5000000000000001,4.8271723,2.0378022,False,False,False,True,False,100.0
28.103706,989.8567,11.871001,-17.085,61.7213,1.0,6.123233995736766e-17,7.419102,-8.769647,False,True,False,False,False,82.0
28.138723,988.66095,8.915095,23.3424,-91.9378,-0.8660254037844386,0.5000000000000001,-1.0949522,-7.1034546,False,False,False,False,True,87.0
22.17819,992.60815,3.9034505,-29.7,68.05,0.49999999999999994,0.8660254037844387,-2.6645923,-1.4383618,False,True,False,False,False,40.0
28.8534,1004.7182,4.584516,18.4073,-108.65,-0.8660254037844384,-0.5000000000000004,-0.19917764,3.707529,False,False,False,False,False,57.0
